Spanish	Meꞌphaa	Placeholder	MixedTypes	Placeholder	FirstAppearsInStage(IFOverrulingDefault)...
viento	i̱.ŋáꞌ	775	-	1	-
piedra	i.tsí	1796	-	1	-
hueso	i.tsu̱	1013	-	1	-
maiz	i.xí	1012	-	1	-
arbol	i.xi̱	1391	-	1	-
agua	i.yaꞌ	1008	-	1	-
papel	i̱.yi̱i̱ꞌ	1083	-	0.98	-
correcaminos	íꞌ.dúun	1202	X	0.82	-
derecho	jmbu	1280	-	1	-
pantalones	jmuu	1110	-	1	-
falda	jnóo	980	C	1	-
num007	juan	793	X	1	-
arena	jui̱ꞌ.i̱	1122	-	1	-
y	ka.mí	403	-	1	-
camino	kha.mbaa	1076	-	0.69	-
montanya	khú.bá	877	-	0.8	-
comadreja	khu̱u̱nꞌ	1271	X	0.76	-
cucaracha	ki̱.xua̱a̱	1360	-	0.69	-
naranja	lá.xá	967	-	1	-
cebolla	má.gá	1522	-	0.93	-
num006	ma.jun	1400	X	1	-
rio	ma.ñu	1401	-	1	-
rojo	ma.ŋaꞌ	883	-	1	-
verde	ma.xaꞌ	1250	-	1	-
alto	mba̱.yi̱i̱ꞌ	970	-	0.63	-
num001	mbóó	955	-	0.84	-
noche	mbroꞌ.on	1399	X	0.72	-
efectivo	mbú.jkáa	1357	-	0.62	-
cielo	me.khu	1508	-	0.91	-
num008	mi.gi.ñuꞌ	1008	-	0.84	-
caliente	mi.jka	1008	-	1	-
num009	mi.jna.u̱.wa̱ꞌ	1541	C	0.54	-
azul	miꞌ.ñuu	991	-	0.93	-
blanco	miꞌ.xá	1046	-	1	-
gato	mí.xtúun	1195	X	0.64	-
oveja	mu.gu̱	1237	-	1	-
amarillo	mu̱.jmu̱ꞌ	842	-	0.72	-
enfermo	na.khá.ñuu	1130	C	0.6	-
basura	ná.ska	1201	C	0.98	-
vela	ndé.lá	986	-	0.91	-
canya	ndiin	1086	123X	1	-
guayaba	ndi.jiaꞌ	1480	-	1	-
fiesta	ndxa̱a̱	1166	-	0.85	-
vidrio	ni.wanꞌ	1299	C234X6	0.95	-
mosca	ñu̱.ju̱	1400	-	1	-
mundo	nu.mbaaꞌ	1180	C	0.76	-
mecate	ñu.ñuu	1551	-	1	-
pajaro	ñu̱ꞌ.u̱	1082	-	1	-
lodo	ŋga.xaꞌ	1106	-	1	-
mariposa	pi̱.jpí	1089	-	0.98	-
tomate	ra̱.mbu̱	981	-	0.77	-
huarache	ra.xtá	1660	-	1	-
flor	ri̱ꞌ.i̱	1122	-	1	-
botella	ru̱.jtu̱	955	-	0.98	-
tarantula	ru̱.ndi̱i̱n	1536	X	0.64	-
guajolota	ru.ndúꞌ	1230	-	0.87	-
carbon	ru.tá	914	-	1	-
canoa	ru.waꞌ	813	-	1	-
gorgojo	ru.xi	1307	-	1	-
lluvia	ruꞌ.wa	1519	-	1	-
negro	sku.niꞌ	1004	C	1	-
tos	ta̱ꞌ.a̱	940	-	1	-
medicina	tha.na	1709	X	1	-
algunos	ti.khuu	1262	-	0.95	-
ciruela	tsí.díin	1430	X	0.79	-
cacahuate	tsí.jmbaaꞌ	1460	-	0.65	-
raton	tsi̱.jní	704	C	0.95	-
chivo	tsu̱.jtoonꞌ	1273	X	0.66	-
colibri	tsu̱ꞌ.tsúnꞌ	1501	X	0.66	-
tortilla	u.ma	643	-	1	-
tortuga	u̱ꞌ.tsi̱	922	-	1	-
atole	ú.wanꞌ	1239	X	0.95	-
num010	u̱.wa̱ꞌ	918	-	1	-
mujeres	u̱ꞌ.u̱	1173	-	1	-
conejo	wa̱.jin	1045	X	1	-
rebozo	wá.ñú	1473	-	0.91	-
gallo	wa̱.xtá	859	-	0.84	-
num005	wi.tsu	1223	-	1	-
hongo	wí.xaꞌ	888	-	1	-
persona	xa̱.bu̱	1081	-	0.98	-
rastrojo	xa.dooꞌ	1283	-	0.93	-
tabla	xa.jpa	1236	-	1	-
platano	xá.ma	1008	-	1	-
cangrejo	xa̱.wíꞌ	1254	-	0.91	-
bosque	xa.xi	1183	-	1	-
milpa	xa.xtu	1450	-	1	-
vaca	xe.di̱	1393	-	1	-
pajaro_carpintero	xi̱.da̱ꞌ	994	-	1	-
grillo	xi.jŋgrí	1149	-	0.84	-
aranya	xi.naꞌ	1193	C	1	-
alacran	xi̱.yúꞌ	1360	-	0.95	-
libelula	xka̱.da̱ꞌ	1589	-	0.79	-
escoba	xkaꞌ.á	1105	-	1	-
derrumbe	xki̱.jka̱	1407	-	0.79	-
garrapata	xki̱ꞌ.xi	1206	-	0.95	-
puerta	xkru.gua	1150	-	0.75	-
semilla_para_comer	xkuun	1050	X	1	-
pluma	xnaꞌ	1162	C	1	-
huevo	xndú	1148	-	1	-
pueblo	xo.jin	898	X	1	-
resorte	xtá	1242	-	1	-
sombrero	xté.di̱	1275	-	0.93	-
ropa	xtíin	922	X	1	-
pollo	xtí.lá	915	-	1	-
murcielago	xtíꞌ.khú	1279	-	0.73	-
una_sola_milpa	xto̱o̱	1095	-	1	-
servilleta	xtú.mi̱	1357	-	0.85	-
jicara	xua̱a̱	1388	-	1	-
perro	xu̱.wánꞌ	1047	X	0.73	-
ardilla	ya̱a̱ꞌ	1039	-	1	-
frijol	ya.ja	1165	-	1	-
miel	yaꞌ.tsááꞌ	1214	-	0.72	-
manteca	ye.jtsu̱	1388	-	0.91	-
polvo	yu̱.jnda̱ꞌ	1147	-	0.72	-
cuervo	yu̱.wa̱ꞌ	1395	-	0.84	-
maguey	yuꞌ.wa	1130	-	1	-
