Door	Country	ChallengeLevel	Color	InstructionAudio	AudioDuration	SyllOrTile	StagesIncluded
81	Peru	2	3	zzz_peru	1999	T	-
82	Georgia	3	11	zzz_georgia	1999	S	-
83	Georgia	4	4	zzz_georgia	1999	T	-
84	Mexico	2	0	zzz_mexico	1999	T	-
85	Georgia	4	11	zzz_georgia	1999	S	-
86	Georgia	5	4	zzz_georgia	1999	T	-
87	Peru	3	3	zzz_peru	1999	T	-
88	Colombia	1	7	zzz_colombia_1	1999	S	-
89	Mexico	3	0	zzz_mexico	1999	T	-
90	Georgia	5	11	zzz_georgia	1999	S	-
91	Georgia	6	11	zzz_georgia	1999	S	-
92	Georgia	6	4	zzz_georgia	1999	T	-
93	Colombia	2	7	zzz_colombia_2_3	1999	S	-
94	Mexico	4	0	zzz_mexico	1999	T	-
95	UnitedStates	1	10	zzz_united_states	1999	T	-
96	Colombia	1	1	zzz_colombia_1	1999	T	-
97	Myanmar	1	8	zzz_myanmar	1999	T	-
98	UnitedStates	1	10	zzz_united_states	1999	S	-
99	Colombia	3	7	zzz_colombia_2_3	1999	S	-
100	Colombia	2	1	zzz_colombia_2_3	1999	T	-
101	UnitedStates	2	10	zzz_united_states	1999	T	-
102	Mexico	5	0	zzz_mexico	1999	T	-
103	Myanmar	2	8	zzz_myanmar	1999	T	-
104	UnitedStates	3	10	zzz_united_states	1999	T	-
105	Myanmar	3	8	zzz_myanmar	1999	T	-
106	China	1	9	X	naWhileMPOnly	T	-
107	Chile	1	6	X	naWhileMPOnly	T	-
108	Colombia	3	1	zzz_colombia_2_3	1999	T	-
